article_id,offer_price,purchase_prob,expected_demand,expected_revenue,cvar_0.25
554450004,11.99,0.00827350507699788,2.06837626924947,24.799831468301146,5.980225594816032
554450004,12.99,0.008111491646987132,2.0278729117467833,26.342069123590715,6.207593397344521
554450004,13.99,0.007943190248095002,1.9857975620237505,27.78130789271227,6.368975653702723
554450004,14.99,0.007824698921177476,1.956174730294369,29.323059207112593,6.576735688038142
554450004,15.99,0.007582650256831408,1.8956625642078522,30.311644401683555,6.451161653886343
554450004,16.14,0.007476120058874223,1.869030014718556,30.16614443755749,6.249809128201168
554450004,16.66,0.007283031884100731,1.8207579710251827,30.333827797279543,5.942431206940517
554450004,16.99,0.007088762136225827,1.7721905340564568,30.1095171736192,5.512167104145914
554450004,17.99,0.0066985333519141935,1.6746333379785483,30.12665375023408,4.582113161824128
554450004,19.99,0.0060187775921803,1.5046943980450749,30.078841016921043,2.3126236592590543
