train_frac,objective,n_splits,n_train_rows_mean,mean_regret,std_mean_regret,se_mean_regret,ci95_halfwidth_mean_regret,median_regret,mean_relative_performance,price_match_rate,mean_candidate_prices
0.01,cvar_0.25,10,29.8,1.4314722878120247,0.9248132063395635,0.2924516142236291,0.573205163878313,0.9862815029672758,0.798742881281378,0.21999999999999997,9.64
0.01,expected_revenue,10,29.8,3.7010261747458153,3.1212717689726674,0.9870327986336501,1.9345842853219541,2.5776160393626864,0.898452398174895,0.31999999999999995,9.64
0.025,cvar_0.25,10,73.6,0.9527012452023648,0.5002011792297829,0.15817750146682216,0.3100279028749714,0.42604502819849677,0.8661086937794661,0.29333333333333333,9.64
0.025,expected_revenue,10,73.6,2.588974882460321,1.9369967826724368,0.6125321653663073,1.2005630441179622,1.8610307923917744,0.9237389755187388,0.3333333333333333,9.64
0.05,cvar_0.25,10,146.7,0.5831479264332599,0.3731871713937223,0.11801214551597959,0.23130380521132002,0.1891599183788799,0.9174587190956931,0.37333333333333335,9.64
0.05,expected_revenue,10,146.7,1.5733208208992195,1.3851504086699127,0.4380230193309966,0.8585251178887533,0.9076625618279026,0.9584994118880825,0.5066666666666666,9.64
0.1,cvar_0.25,10,292.9,0.29770686459623896,0.21744525870195056,0.0687622283902712,0.13477396764493155,0.09067265126825602,0.9577884740676768,0.48666666666666664,9.64
0.1,expected_revenue,10,292.9,0.9146958689703961,0.9791595598534975,0.3096374401865018,0.6068893827655435,0.25427949292170504,0.9780488118180732,0.6266666666666667,9.64
0.2,cvar_0.25,10,585.2,0.13861948789424736,0.11689505076038174,0.03696546076038039,0.07245230309034556,0.027083124971253508,0.9801318136076425,0.5866666666666667,9.64
0.2,expected_revenue,10,585.2,0.5397546912972813,0.7436132684290759,0.23515116265580588,0.4608962788053795,0.0,0.9889099640669585,0.7333333333333333,9.64
0.3,cvar_0.25,10,877.6,0.1479751360236008,0.11682206879622503,0.03694238183689559,0.07240706840031536,0.010809846205020431,0.979060767766166,0.6133333333333333,9.64
0.3,expected_revenue,10,877.6,0.4797407830037452,0.5053504283687127,0.15980583701869008,0.31321944055663253,0.0,0.989594212404624,0.72,9.64
0.4,cvar_0.25,10,1169.9,0.17193048454790077,0.09478978624647508,0.0299751623459364,0.05875131819803535,0.00632906624145891,0.9753743773884984,0.5666666666666667,9.64
0.4,expected_revenue,10,1169.9,0.3760030534041363,0.5025977495491909,0.15893536354503088,0.31151331254826053,0.0,0.9921660608905416,0.7866666666666666,9.64
0.5,cvar_0.25,10,1462.1,0.1389929400766594,0.1118171367394724,0.035359683353522645,0.06930497937290439,0.00418780596400364,0.981269716741758,0.6133333333333333,9.64
0.5,expected_revenue,10,1462.1,0.2740684399349901,0.4572880000099337,0.1446071626694491,0.28343003883212026,0.0,0.9946290995461877,0.82,9.64
0.6,cvar_0.25,10,1754.6,0.12225837550866489,0.10325746200469578,0.032652876534313466,0.06399963800725439,0.00292196349026774,0.9826225765911358,0.6066666666666667,9.64
0.6,expected_revenue,10,1754.6,0.16191245716987474,0.2625464318208631,0.08302447161040358,0.16272796435639103,0.0,0.9966691019868046,0.8400000000000001,9.64
0.7,cvar_0.25,10,2047.0,0.07541957548697859,0.04704389617916188,0.01487658619346442,0.029158108939190266,0.0052521799067405395,0.9886435173464732,0.6333333333333333,9.64
0.7,expected_revenue,10,2047.0,0.1936555805415839,0.3436397440136322,0.10866842856402897,0.21299011998549677,0.0,0.9960685965801469,0.8466666666666667,9.64
0.8,cvar_0.25,10,2339.3,0.07239998065321736,0.05275798570547807,0.0166835399591916,0.032699738320015534,0.0,0.9894453734840608,0.6599999999999999,9.64
0.8,expected_revenue,10,2339.3,0.1778587885376853,0.25379386157648137,0.0802566658751173,0.1573030651152299,0.0,0.9963653768354694,0.8466666666666667,9.64
