split,n_j1_products,n_j2_products,n_j3_products,n_j1_rows,n_d2_rows,n_d3_rows,ground_truth_selected_exposure_n,ground_truth_objective_value
0,60,25,15,6944,2984,1763,250,12700.00186357974
1,60,25,15,6889,3013,1789,250,12741.62620027961
2,60,25,15,6654,3116,1921,250,12778.976513518712
3,60,25,15,6866,2904,1921,250,12631.862127299955
4,60,25,15,7312,2731,1648,250,12553.524351251686
5,60,25,15,7136,2867,1688,250,12235.541687259174
6,60,25,15,7198,2851,1642,250,12579.674374703933
7,60,25,15,7044,2850,1797,250,12720.45117949364
8,60,25,15,7153,2985,1553,250,12415.165448525095
9,60,25,15,7114,2936,1641,250,12773.687609356813
